Item ID;Part Number;NSN;Nama Barang;PN Lama;Nama Lama;Gudang;Rak;Jumlah;Satuan;Harga Satuan;Komoditi;Komponen;Transaksi Terakhir;Lanud/Depo;Status;Keterangan
IT-100148212;CBS-6-1-N-33S;3460-AU-PAA-0877;SLEEVE;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100148215;CBS-6-2-N-16S;3460-01-529-0154;SLEEVE,EXPANSION MANDREL;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100148216;CBS-6-2-N-32F;3460-01-388-3913;SLEEVE,EXPANSION MANDREL;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100148219;CBS-8-1-N-24S;5365-01-601-5724;SPACER,SLEEVE;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100148228;MS24548-5-17;4720-00-787-8436;HOSE ASSEMBLY,AIR BREATHING;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100148229;MS24548-5-23;4720-01-344-9130;HOSE ASSEMBLY,NONMETALLIC;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100148230;MS24548-8-16;4720-00-787-8433;HOSE ASSEMBLY,AIR DUCT,AIR BREATHING;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100148234;81533688-01;6630-AU-PAC-2578;PLATE STEP LADDER;;;TB SATHAR 11;01B 02C D12;0;EA;;KT-1B;N;;DEPO 10;ACTIVE;
IT-100148238;NAS6604-31D;5306-AU-PAG-0106;BOLT AILERON;;;TB SATHAR 11;01B 02D 001;0;EA;;KT-1B;N;;DEPO 10;ACTIVE;
IT-100148243;AN816-5-4D;4730-00-196-9585;ADAPTER,STRAIGHT,PIPE TO TUBE;;;TB SATHAR 15;;0;EA;100000;;N;;DEPO 10;ACTIVE;
IT-100148244;"MS20822-8D; 213695-8D; 7228985; 7400-8";9999-AU-PAH-2386;NAPPLE;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100148246;"MS20822-5D; AN822-5D";4730-AU-PAH-2387;ELBOW;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100148247;"MS20822-5D; AN822-5D";4730-00-278-3678;ELBOW,PIPE TO TUBE;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100148337;CBS-6-2-N-14S;3460-AU-PAH-2841;SLEEVE;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100148353;"9525762; 9526479;  9534877";1560-AU-PAH-2971;PUSE WHEEL;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100148354;"9525762; 9526479; 9534877";5920-AU-PAH-2849;PUSE WHEEL;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100148357;371350-165;4210-01-104-8122;TUBE ASSEMBLY,FIRE EXTINGUISHING SYSTEM;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100148358;MS3106R28-12PX;5935-00-985-5106;CONNECTOR,PLUG,ELECTRICAL;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100148443;"HL19PB8-8; 1213AS624-8-8; BACB30FN8-8";5320-00-959-7265;PIN-RIVET;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
